name;libelle_aca_majuscules;libelle_region_2016;code_academie;code_region_2016;Longitude;Latitude
Aix-Marseille;AIX-MARSEILLE;Provence-Alpes-Côte-d'Azur;02;93;5.79308891021;44.1027716697
Amiens;AMIENS;Hauts-de-France;20;32;2.80766630448;49.6427724137
Besançon;BESANCON;Bourgogne-et-Franche-Comté;03;27;6.08808604316;47.2079483667
Bordeaux;BORDEAUX;Nouvelle-Aquitaine;04;75;-0.228081890016;44.3550072937
Clermont-Ferrand;CLERMONT-FERRAND;Auvergne-et-Rhône-Alpes;06;84;3.17706350247;45.6561689979
Corse;CORSE;Corse;27;94;9.10637122189;42.1510421023
Créteil;CRETEIL;Île-de-France;24;11;2.89937994538;48.6440215658
Dijon;DIJON;Bourgogne-et-Franche-Comté;07;27;4.14937923191;47.2478306944
Grenoble;GRENOBLE;Auvergne-et-Rhône-Alpes;08;84;5.59670490137;45.2201521806
Guadeloupe;GUADELOUPE;Guadeloupe;32;01;-61.5398945904;16.1976016408
Guyane;GUYANE;Guyane;33;03;-53.2385328464;3.9243178653
La Réunion;LA REUNION;La-Réunion;28;04;55.5325439455;-21.1332104688
Lille;LILLE;Hauts-de-France;09;32;2.71472301366;50.4727275341
Limoges;LIMOGES;Nouvelle-Aquitaine;22;75;1.71417488108;45.7740996265
Lyon;LYON;Auvergne-et-Rhône-Alpes;10;84;4.77279452124;45.9174746186
Martinique;MARTINIQUE;Martinique;31;02;-61.0188616632;14.653390441
Mayotte;MAYOTTE;Mayotte;43;06;45.1468435284;-12.8200757555
Montpellier;MONTPELLIER;Occitanie;11;76;3.22567116111;43.5936344954
Nancy-Metz;NANCY-METZ;Grand-Est;12;44;6.14180183082;48.7623743677
Nantes;NANTES;Pays-de-la-Loire;17;52;-0.817261646271;47.477378106
Nice;NICE;Provence-Alpes-Côte-d'Azur;23;93;6.60899772959;43.6491925857
Normandie;NORMANDIE;Normandie;70;28;-0.306234601792;49.1043075421
Orléans-Tours;ORLEANS-TOURS;Centre-Val-de-Loire;18;24;1.68440746153;47.4847816708
Paris;PARIS;Île-de-France;01;11;2.34283924113;48.8566055719
Poitiers;POITIERS;Nouvelle-Aquitaine;13;75;-0.0817422264449;46.1627290592
Reims;REIMS;Grand-Est;19;44;4.54141849207;48.7364499113
Rennes;RENNES;Bretagne;14;53;-2.84277532963;48.1775728152
Strasbourg;STRASBOURG;Grand-Est;15;44;7.4352136095;48.3302742303
Toulouse;TOULOUSE;Occitanie;16;76;1.4874367317;43.768602732
Versailles;VERSAILLES;Île-de-France;25;11;2.05093098277;48.7816176128